question_id,status,answered_at,answer_source,applied_to,applied_at,notes
HI-0001,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0002,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0003,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0004,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0005,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0006,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0007,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0008,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0009,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0010,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0011,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0012,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0013,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0014,unanswered,,,,,
HI-0015,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0016,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0017,to_be_confirmed,,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,,,
HI-0018,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0019,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
HI-0020,answered,2026-05-30 00:23:11,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\human_input\human_input_answers.md,C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\human_confirmed_context.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\methodology_details.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\statistical_results.md; C:\MEGA Cloud\Teaching Stuff\Research\Rad Tech Grades and Board Exam\Research Agent\research_agent\projects\sample_project\input\results_availability.md,2026-05-30 00:23:11,
